Charge,Address,City,District
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,100 block Dale St,Syracuse,Syracuse
Larceny,4800 block S Salina St,Syracuse,Syracuse
Vehicle theft,700 block Burnet Av,Syracuse,Syracuse
Vehicle theft,100 block Oak St,Syracuse,Syracuse
Vehicle theft,1800 block Grant Blvd,Syracuse,Syracuse
Aggravated assault,1000 block Park St,Syracuse,Syracuse
Burglary,6400 block Basile Rowe,East Syracuse,East Syracuse
Larceny,100 block Oswego St,Baldwinsville,Baldwinsville
Larceny,400 block Village Blvd N,Baldwinsville,Onondaga County
Larceny,0 block Canterbury Rd,Baldwinsville,Baldwinsville
Larceny,7900 block Brewerton Rd,Cicero,Cicero
Larceny,8100 block Eileen Av,Cicero,Cicero
Larceny,5800 block Bridge St,East Syracuse,DeWitt
Larceny,300 block Towne Dr,Fayetteville,Manlius
Larceny,6700 block E Genesee St,Fayetteville,DeWitt
Larceny,3800 block Route 31,Liverpool,Onondaga County
Larceny,200 block Millen Dr,N Syracuse,North Syracuse
Larceny,9600 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,1200 block Highland St,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,100 block Rockland Av,Syracuse,Syracuse
Larceny,100 block Stolp Av,Syracuse,Syracuse
Robbery,100 block Jasper St,Syracuse,Syracuse
Vehicle theft,4300 block Arlington Cir,Liverpool,Onondaga County
Vehicle theft,100 block Schiller Av,Syracuse,Syracuse
Vehicle theft,300 block Lodi St,Syracuse,Syracuse
Burglary,3400 block Route 31,Baldwinsville,Onondaga County
Burglary,600 block N Salina St,Syracuse,Syracuse
Burglary,300 block N Midler Av,Syracuse,Syracuse
Larceny,5500 block Ike Dixon Rd,Camillus,Camillus
Larceny,5900 block State Route 31,Cicero,Cicero
Larceny,3400 block Erie Blvd E,DeWitt,DeWitt
Larceny,6400 block Fremont Rd,East Syracuse,Manlius
Larceny,8400 block Oswego Rd,Liverpool,Onondaga County
Larceny,900 block James St,Syracuse,Syracuse
Larceny,500 block W Onondaga St,Syracuse,Syracuse
Larceny,900 block N Alvord St,Syracuse,Syracuse
Larceny,3900 block Eastbourne Dr,Syracuse,DeWitt
Larceny,100 block W Matson Av,Syracuse,Syracuse
Larceny,300 block Shonnard St,Syracuse,Syracuse
Larceny,100 block Marshall St,Syracuse,Syracuse
Robbery,400 block Euclid Av,Syracuse,Syracuse
Vehicle theft,600 block S Salina St,Syracuse,Syracuse
Aggravated assault,300 block Wadsworth St,Syracuse,Syracuse
Aggravated assault,300 block Apple St,Syracuse,Syracuse
Aggravated assault,300 block Douglas St,Syracuse,Syracuse
Aggravated assault,2700 block James St,Syracuse,Syracuse
Burglary,600 block Idlewood Blvd,Baldwinsville,Onondaga County
Larceny,5300 block W Genesee St,Camillus,Camillus
Larceny,5800 block State Rte 31,Cicero,Cicero
Larceny,4100 block Route 31,Clay,Onondaga County
Larceny,6400 block Basile Rowe,East Syracuse,East Syracuse
Larceny,8300 block Route 31,Liverpool,Onondaga County
Larceny,4200 block Belmont Dr,Liverpool,Onondaga County
Larceny,300 block Brookfield Rd,Mattydale,Onondaga County
Larceny,2100 block E Fayette St,Syracuse,Syracuse
Larceny,600 block S Beech St,Syracuse,Syracuse
Larceny,200 block Comstock Av,Syracuse,Syracuse
Larceny,4900 block Macgregor Ln,Syracuse,Onondaga County
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,100 block Gifford St,Syracuse,Syracuse
Robbery,1100 block N Salina St,Syracuse,Syracuse
Robbery,100 block Alexander Av,Syracuse,Syracuse
Burglary,8100 block Gatewood Dr,Clay,Onondaga County
Burglary,100 block Meredith Av,Nedrow,Onondaga County
Burglary,9400 block Oswego Rd,Phoenix,Onondaga County
Burglary,700 block Fourth St,Syracuse,Solvay
Burglary,700 block Euclid Av,Syracuse,Syracuse
Larceny,5300 block W Genesee St,Camillus,Camillus
Larceny,8000 block Brewerton Rd,Cicero,Cicero
Larceny,8000 block Brewerton Rd,Cicero,Cicero
Larceny,7900 block Brewerton Rd,Cicero,Onondaga County
Larceny,5800 block E Circle Dr,Cicero,Cicero
Larceny,5800 block E Circle Dr,Cicero,Cicero
Larceny,0 block Chevy Dr,East Syracuse,East Syracuse
Larceny,5100 block Highbridge St,Fayetteville,Manlius
Larceny,8700 block Dell Center Dr,Liverpool,Onondaga County
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,300 block Elm St,Syracuse,Syracuse
Larceny,5100 block Ball Rd,Syracuse,Onondaga County
Larceny,300 block Seymour St,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,500 block Wolf St,Syracuse,Syracuse
Larceny,4100 block E Genesee St,Syracuse,Syracuse
Larceny,400 block Irving Av,Syracuse,Syracuse
Larceny,800 block Lancaster Av,Syracuse,Syracuse
Larceny,400 block Pleasantview Av,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,800 block Spencer St,Syracuse,Syracuse
Larceny,600 block Robinson St,Syracuse,Syracuse
Larceny,600 block Robinson St,Syracuse,Syracuse
Robbery,200 block Washington Sq,Syracuse,Syracuse
Robbery,100 block Lakeview Av,Syracuse,Syracuse
Vehicle theft,4100 block Bermond Ct,Liverpool,Onondaga County
Vehicle theft,100 block Riverdale Dr,Syracuse,Syracuse
Burglary,200 block E Colvin St,Syracuse,Syracuse
Burglary,100 block Newbury Hollow Ln,Syracuse,Syracuse
Burglary,1800 block S State St,Syracuse,Syracuse
Larceny,5300 block W Genesee St,Camillus,Onondaga County
Larceny,5800 block E Circle Dr,Cicero,Cicero
Larceny,4200 block James St,East Syracuse,DeWitt
Larceny,4600 block Southwood Heights Dr,Jamesville,Onondaga County
Larceny,0 block Clinton St,Jordan,Jordan
Larceny,8700 block Dell Center Dr,Liverpool,Onondaga County
Larceny,7400 block Coachlight Ln,Liverpool,Onondaga County
Larceny,7400 block Coachlight Ln,Liverpool,Onondaga County
Larceny,4300 block Freeport Cir,Marcellus,Onondaga County
Larceny,500 block Edgerton St,Minoa,Manlius
Larceny,3600 block Brewerton Rd,North Syracuse,Onondaga County
Larceny,100 block South Av,Syracuse,Solvay
Larceny,0 block Brattle Rd,Syracuse,Syracuse
Larceny,200 block Second St,Syracuse,Solvay
Larceny,1800 block E Fayette St,Syracuse,Syracuse
Larceny,4700 block Onondaga Blvd,Syracuse,Geddes
Larceny,300 block Carlton Rd,Syracuse,Syracuse
Larceny,800 block S State St,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,100 block Shop City Plz,Syracuse,Onondaga County
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,200 block Erie St,Syracuse,Syracuse
Larceny,200 block Lennox Av,Syracuse,Syracuse
Robbery,1200 block Butternut St,Syracuse,Syracuse
Robbery,400 block S Alvord St,Syracuse,Syracuse
Robbery,100 block Stewart Ct,Syracuse,Syracuse
Vehicle theft,300 block Elm St,Syracuse,Syracuse
Vehicle theft,100 block Richard Rd,Syracuse,Syracuse
Vehicle theft,500 block Dudley St,Syracuse,Syracuse
Vehicle theft,100 block S Alvord St,Syracuse,Syracuse
Aggravated assault,700 block W Colvin St,Syracuse,Syracuse
Aggravated assault,700 block Butternut St,Syracuse,Syracuse
Aggravated assault,600 block N Salina St,Syracuse,Syracuse
Aggravated assault,200 block Ulster St,Syracuse,Syracuse
Aggravated assault,600 block N Salina St,Syracuse,Syracuse
Aggravated assault,600 block Gifford St,Syracuse,Syracuse
Burglary,2600 block Route 5,Camillus,Camillus
Burglary,8500 block Lyons Landing Rd,Cicero,Cicero
Burglary,0 block Alpine Dr,DeWitt,DeWitt
Burglary,100 block Merman Dr,DeWitt,DeWitt
Burglary,700 block Ostrom Av,Syracuse,Syracuse
Burglary,700 block Erie Blvd W,Syracuse,Syracuse
Burglary,200 block Rivoli Av,Syracuse,Syracuse
Burglary,100 block Oakridge Dr,Syracuse,Solvay
Burglary,900 block Willis Av,Syracuse,Syracuse
Larceny,8000 block River Rd,Baldwinsville,Onondaga County
Larceny,8200 block Justin Dr,Clay,Onondaga County
Larceny,8200 block Justin Dr,Clay,Onondaga County
Larceny,3900 block Route 31,Liverpool,Onondaga County
Larceny,100 block Military Dr,Manlius,Manlius
Larceny,900 block Hiawatha Blvd W,Syracuse,Syracuse
Larceny,600 block Lupine Dr,Syracuse,Onondaga County
Larceny,100 block Maurice Av,Syracuse,Syracuse
Larceny,300 block N Clinton St,Syracuse,Syracuse
Larceny,100 block Pharis St,Syracuse,Syracuse
Larceny,3300 block W Genesee St,Syracuse,Geddes
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,500 block Charles Av,Syracuse,Solvay
Larceny,100 block Shop City Plaza Dr,Syracuse,Onondaga County
Larceny,300 block Ostrom Av,Syracuse,Syracuse
Larceny,400 block Roosevelt Av,Syracuse,Syracuse
Larceny,800 block Lancaster Av,Syracuse,Syracuse
Larceny,800 block E Colvin St,Syracuse,Syracuse
Larceny,800 block S State St,Syracuse,Syracuse
Robbery,300 block James St,North Syracuse,North Syracuse
Robbery,200 block W Water St,Syracuse,Syracuse
Vehicle theft,1900 block Lodi St,Syracuse,Syracuse
Vehicle theft,200 block W Lafayette Av,Syracuse,Syracuse
Aggravated assault,100 block Columbus Av,Syracuse,Camillus
Aggravated assault,700 block E Adams St,Syracuse,Syracuse
Aggravated assault,200 block Croly St,Syracuse,Syracuse
Aggravated assault,900 block N Alvord St,Syracuse,Syracuse
Aggravated assault,100 block Fernwood Av,Syracuse,Syracuse
Arson,200 block Moore Av,Syracuse,Syracuse
Burglary,8100 block Sophia Dr,Cicero,Onondaga County
Burglary,100 block Chestnut Hill Dr,Salina,Onondaga County
Burglary,300 block Baker Av,Syracuse,Syracuse
Burglary,200 block Valley Dr,Syracuse,Syracuse
Larceny,300 block Weybridge Ter,Camillus,Camillus
Larceny,8700 block Rte 31,Clay,Onondaga County
Larceny,3400 block Erie Blvd E,DeWitt,DeWitt
Larceny,6400 block Basile Rowe,East Syracuse,East Syracuse
Larceny,6700 block Manlius Center Rd,East Syracuse,DeWitt
Larceny,100 block E Manlius St,East Syracuse,East Syracuse
Larceny,500 block Towne Dr,Fayetteville,Manlius
Larceny,300 block Towne Dr,Fayetteville,Manlius
Larceny,4800 block Bear Rd,Liverpool,Onondaga County
Larceny,7400 block Oswego Rd,Liverpool,Onondaga County
Larceny,8700 block Dell Center Dr,Liverpool,Onondaga County
Larceny,7600 block Thompson Rd,North Syracuse,Onondaga County
Larceny,400 block Douglas St,Syracuse,Syracuse
Larceny,1200 block Almond St,Syracuse,Syracuse
Larceny,0 block Destiny Dr,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,1900 block Grant Blvd,Syracuse,Syracuse
Larceny,2900 block James St,Syracuse,Syracuse
Larceny,200 block Lafayette Rd,Syracuse,Syracuse
Larceny,400 block Gifford St,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,300 block Miles Av,Syracuse,Syracuse
Robbery,400 block Wescott St,Syracuse,Syracuse
Robbery,0 block Destiny Usa Dr,Syracuse,Syracuse
Vehicle theft,200 block Bellevue Av,Syracuse,Syracuse
Aggravated assault,200 block Magnolia St,Syracuse,Syracuse
Aggravated assault,300 block Bruce St,Syracuse,Syracuse
Aggravated assault,300 block W Ostrander Av,Syracuse,Syracuse
Burglary,100 block Kasson Rd,Camillus,Onondaga County
Burglary,200 block Sunflower Dr,Liverpool,Onondaga County
Burglary,2800 block S Salina St,Syracuse,Syracuse
Burglary,100 block Homer Av,Syracuse,Geddes
Larceny,0 block Salina St,Baldwinsville,Baldwinsville
Larceny,8000 block Brewerton Rd,Cicero,Cicero
Larceny,8000 block Brewerton Rd,Cicero,Cicero
Larceny,3600 block Erie Blvd E,DeWitt,DeWitt
Larceny,100 block Towne Dr,Fayetteville,Manlius
Larceny,3800 block Brewerton Rd,North Syracuse,Onondaga County
Larceny,2700 block James St,Syracuse,Syracuse
Larceny,200 block Hunt Av,Syracuse,Syracuse
Larceny,200 block Broad St,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,4700 block Onondaga Blvd,Syracuse,Geddes
Larceny,200 block Merrill St,Syracuse,Syracuse
Larceny,600 block Hiawatha Blvd W,Syracuse,Syracuse
Larceny,100 block Onondaga Av,Syracuse,Syracuse
Larceny,300 block W Jefferson St,Syracuse,Syracuse
Larceny,200 block Hunt Av,Syracuse,Syracuse
Larceny,2400 block Grant Blvd,Syracuse,Syracuse
Larceny,600 block S Warren St,Syracuse,Syracuse
Larceny,100 block E Washington St,Syracuse,Syracuse
Robbery,300 block Gere Av,Syracuse,Syracuse
Robbery,2100 block W Genesee St,Syracuse,Onondaga County
Vehicle theft,100 block Malden Rd,Mattydale,Onondaga County
Vehicle theft,300 block E Washington St,Syracuse,Syracuse
Vehicle theft,300 block Catherine St,Syracuse,Syracuse
Vehicle theft,800 block James St,Syracuse,Syracuse
Vehicle theft,100 block Gertrude St,Syracuse,Syracuse
Aggravated assault,400 block Valley Dr,Syracuse,Syracuse
Aggravated assault,1100 block Avery Av,Syracuse,Syracuse
Burglary,5100 block Velasko Rd,Syracuse,Onondaga County
Burglary,1000 block State Fair Blvd,Syracuse,Geddes
Burglary,3000 block Burnet Av,Syracuse,Syracuse
Burglary,100 block Eloise Ter,Syracuse,Syracuse
Burglary,100 block Argonne Dr,Syracuse,Syracuse
Burglary,400 block Kirk Av,Syracuse,Syracuse
Burglary,400 block N Midler Av,Syracuse,DeWitt
Larceny,400 block Idlewood Blvd,Baldwinsville,Onondaga County
Larceny,3100 block Blythewood Ct,Baldwinsville,Onondaga County
Larceny,5100 block W Genesee St,Camillus,Camillus
Larceny,5700 block E Circle Dr,Cicero,Onondaga County
Larceny,7600 block Morgan Rd,Liverpool,Onondaga County
Larceny,3800 block Route 31,Liverpool,Onondaga County
Larceny,4900 block W Taft Rd,Liverpool,Onondaga County
Larceny,4500 block Cascade Dr,Manlius,Manlius
Larceny,0 block Jordan St,Skaneateles,Skaneateles
Larceny,200 block E Washington St,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,100 block Spruce Tree Ln,Syracuse,Geddes
Larceny,100 block Smith Rd,Syracuse,Syracuse
Larceny,200 block Lillian Av,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,4600 block Onondaga Blvd,Syracuse,Geddes
Larceny,100 block Salt Springs Rd,Syracuse,Syracuse
Larceny,100 block Lafayette Rd,Syracuse,Syracuse
Larceny,700 block Erie Blvd W,Syracuse,Syracuse
Larceny,4700 block Onondaga Blvd,Syracuse,Geddes
Larceny,300 block S Beech St,Syracuse,Syracuse
Larceny,900 block Ackerman Av,Syracuse,Syracuse
Vehicle theft,1000 block Bellevue Av,Syracuse,Syracuse
Aggravated assault,100 block Roxboro Cir,Mattydale,Onondaga County
Aggravated assault,300 block W Pleasant Av,Syracuse,Syracuse
Burglary,200 block Kinne St,East Syracuse,East Syracuse
Burglary,0 block Apricot Ln,Liverpool,Onondaga County
Burglary,0 block Candlelight Cir,Liverpool,Onondaga County
Burglary,0 block Candlelight Cir,Liverpool,Onondaga County
Burglary,0 block Candlelight Cir,Liverpool,Onondaga County
Burglary,0 block Candlelight Cir,Liverpool,Onondaga County
Burglary,200 block Robineau Rd,Syracuse,Syracuse
Burglary,100 block Stolp Av,Syracuse,Syracuse
Burglary,200 block Beach Rd,Syracuse,Geddes
Burglary,100 block Schuler St,Syracuse,Syracuse
Larceny,5300 block W Genesee St,Camillus,Camillus
Larceny,5300 block W Genesee St,Camillus,Camillus
Larceny,3400 block Erie Blvd E,DeWitt,DeWitt
Larceny,400 block E Genesee St,Fayetteville,Manlius
Larceny,7500 block Oswego Rd,Liverpool,Onondaga County
Larceny,2800 block Brewerton Rd,Mattydale,Onondaga County
Larceny,4600 block Onondaga Blvd,Syracuse,Geddes
Larceny,3300 block W Genesee St,Syracuse,Geddes
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,700 block W Genesee St,Syracuse,Syracuse
Larceny,100 block Lafayette Rd,Syracuse,Syracuse
Larceny,200 block Lafayette Rd,Syracuse,Syracuse
Larceny,600 block W Genesee St,Syracuse,Syracuse
Larceny,600 block Butternut St,Syracuse,Syracuse
Larceny,600 block State Fair Blvd,Syracuse,Geddes
Larceny,300 block Kellogg St,Syracuse,Syracuse
Larceny,1400 block E Genesee St,Syracuse,Syracuse
Larceny,0 block Presidential Plaza,Syracuse,Syracuse
Larceny,900 block Ackerman Av,Syracuse,Syracuse
Larceny,900 block Ackerman Av,Syracuse,Syracuse
Larceny,600 block Ackerman Av,Syracuse,Syracuse
Robbery,100 block Mcallister Av,Syracuse,Syracuse
Robbery,400 block Myrtle St,Syracuse,Syracuse
Robbery,0 block Destiny Usa Dr,Syracuse,Syracuse
Robbery,100 block Dablon Ct,Syracuse,Syracuse
Robbery,600 block Roberts Av,Syracuse,Syracuse
Vehicle theft,300 block Griffiths St,Syracuse,Syracuse
Vehicle theft,1200 block Milton Av,Syracuse,Syracuse
Burglary,100 block Buckley Rd,Liverpool,Onondaga County
Burglary,200 block N Townsend St,Syracuse,Syracuse
Burglary,800 block Valley Dr,Syracuse,Syracuse
Burglary,1900 block South Av,Syracuse,Syracuse
Larceny,5300 block W Genesee St,Camillus,Camillus
Larceny,5800 block Carmenica Dr,Cicero,Cicero
Larceny,4100 block Route 31,Clay,Onondaga County
Larceny,3400 block Erie Blvd E,DeWitt,DeWitt
Larceny,0 block Caton Dr,DeWitt,DeWitt
Larceny,300 block Stonecrest Dr,DeWitt,DeWitt
Larceny,100 block Towne Dr,Fayetteville,Manlius
Larceny,8700 block State Route 31,Liverpool,Onondaga County
Larceny,700 block First North St,Syracuse,Syracuse
Larceny,100 block Croton Ter,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,4100 block S Salina St,Syracuse,Syracuse
Larceny,3600 block W Genesee St,Syracuse,Camillus
Larceny,4100 block S Salina St,Syracuse,Syracuse
Larceny,3300 block W Genesee St,Syracuse,Geddes
Larceny,300 block Houston Av,Syracuse,Syracuse
Larceny,400 block Spencer St,Syracuse,Syracuse
Vehicle theft,200 block N Main St,North Syracuse,North Syracuse
Vehicle theft,400 block Whittier Av,Syracuse,Syracuse
Aggravated assault,100 block Kidd Av,Syracuse,Syracuse
Aggravated assault,100 block E Molloy Rd,Syracuse,Onondaga County
Aggravated assault,100 block W Beard Av,Syracuse,Syracuse
Burglary,100 block Bent Tree Ln,Baldwinsville,Onondaga County
Burglary,100 block Bent Tree Ln,Baldwinsville,Onondaga County
Burglary,100 block Crandon Ter,Baldwinsville,Onondaga County
Burglary,100 block Idlewood Blvd,Baldwinsville,Onondaga County
Burglary,300 block Craddock St,Syracuse,Syracuse
Burglary,900 block N Salina St,Syracuse,Syracuse
Burglary,100 block Plum St,Syracuse,Syracuse
Burglary,300 block Gertrude St,Syracuse,Syracuse
Larceny,2500 block Rifts Dr,Baldwinsville,Baldwinsville
Larceny,6300 block Mudmill Rd,Brewerton,Cicero
Larceny,3400 block Erie Blvd E,DeWitt,DeWitt
Larceny,200 block W Genesee St,Fayetteville,Manlius
Larceny,300 block Malden Rd,Mattydale,Onondaga County
Larceny,600 block S Main St,North Syracuse,North Syracuse
Larceny,1800 block Teall Av,Syracuse,Onondaga County
Larceny,400 block Helen St,Syracuse,Syracuse
Larceny,100 block Shop City Plaza,Syracuse,Onondaga County
Larceny,100 block Hillsdale Av,Syracuse,Syracuse
Larceny,100 block Corey Rd,Syracuse,Geddes
Larceny,1600 block South Av,Syracuse,Syracuse
Larceny,300 block Bridge St,Syracuse,Geddes
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,500 block S Clinton St,Syracuse,Syracuse
Larceny,700 block First North St,Syracuse,Syracuse
Larceny,100 block N Collingwood Av,Syracuse,Syracuse
Larceny,700 block Comstock Av,Syracuse,Syracuse
Larceny,2900 block E Genesee St,Syracuse,Syracuse
Larceny,300 block Gifford St,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,100 block W Brighton Av,Syracuse,Syracuse
Larceny,300 block Court St,Syracuse,Syracuse
Larceny,500 block Burnet Av,Syracuse,Syracuse
Larceny,100 block Austin Av,Syracuse,Syracuse
Larceny,4600 block Onondaga Blvd,Syracuse,Syracuse
Larceny,2500 block Bellevue Av,Syracuse,Syracuse
Larceny,300 block S Clinton St,Syracuse,Syracuse
Larceny,700 block Comstock Av,Syracuse,Syracuse
Larceny,700 block Comstock Av,Syracuse,Syracuse
Robbery,5400 block E Taft Rd,North Syracuse,Onondaga County
Robbery,1100 block Teall Av,Syracuse,Syracuse
Robbery,300 block W Brighton Av,Syracuse,Syracuse
